Numéro;Heure;Pos_X_centrale;Pos_Y_centrale;Pos_Z_centrale;Angle_X_centrale;Angle_Y_centrale;Angle_Z_centrale
;x10 µs;m;m;m;rad;rad;rad
341;26572900;32571;51044;33749;11;22;33;
342;26655300;32573;51043;33749;11;22;33;
343;26737900;32573;51043;33749;11;22;33;
344;26745200;32573;32868;33749;11;22;33;
345;26827800;32573;32867;33749;11;22;33;
346;26910300;32573;32867;33749;11;22;33;
347;26992500;32573;32868;33749;11;22;33;
348;27075100;32572;32867;33749;11;22;33;
349;27157500;32572;32867;33749;11;22;33;
350;27239900;32573;32867;33749;11;22;33;
351;27322500;32573;32867;33749;11;22;33;
352;27404900;32574;32869;33749;11;22;33;
353;27487500;32567;32864;33749;11;22;33;
354;27570000;32567;32864;33749;11;22;33;
355;27652400;32569;32870;33749;11;22;33;
356;27735000;32569;32870;33749;11;22;33;
357;27817400;32569;32870;33749;11;22;33;
358;27899700;32572;32868;33749;11;22;33;
359;27982200;32572;32868;33749;11;22;33;
360;28064600;32573;32868;33749;11;22;33;
361;28147200;32573;32867;51157;11;22;33;
362;28229800;32573;32867;51157;11;22;33;
363;28312200;32572;32867;33749;11;22;33;
364;28394800;32573;32868;33749;11;22;33;
365;28477300;32573;32868;33749;11;22;33;
366;28559800;32711;32867;33749;11;22;33;
367;28642300;32711;32867;33749;11;22;33;
368;28724600;32573;32867;33749;11;22;33;
369;28807000;32573;32867;33749;11;22;33;
370;28889600;32573;32867;33749;11;22;33;
371;28971800;32573;32868;33749;11;22;33;
372;29054400;32573;32868;33749;11;22;33;
373;29136800;32573;32868;33749;11;22;33;
374;29219200;32573;32868;33749;11;22;33;
375;29301700;32573;32868;33749;11;22;33;
376;29384100;32573;32867;51157;11;22;33;
377;29466700;32573;32867;51157;11;22;33;
378;29549000;32573;32867;51157;11;22;33;
379;29631500;32573;32868;33749;11;22;33;
380;29713900;32573;32868;33749;11;22;33;
381;29796400;32573;32868;33749;11;22;33;
382;29878700;32573;32868;33749;11;22;33;
383;29961300;32573;32868;33749;11;22;33;
384;30043700;32573;32867;33749;11;22;33;
385;30126200;32572;32867;33749;11;22;33;
386;30208800;32572;32867;33749;11;22;33;
387;30291200;32574;32867;33749;11;22;33;
388;30373600;32573;32868;33749;11;22;33;
389;30456200;32573;32868;33749;11;22;33;
390;30538500;32573;32867;33749;11;22;33;
391;30621100;32573;32867;33749;11;22;33;
392;30703500;32572;32868;33749;11;22;33;
393;30786100;51005;32867;33749;11;22;33;
394;30868600;51005;32867;33749;11;22;33;
395;30951000;32572;32868;33749;11;22;33;
396;31033600;32573;51044;33749;11;22;33;
397;31116100;32573;51044;33749;11;22;33;
398;31198400;32572;32868;33749;11;22;33;
399;31280800;32572;32868;33749;11;22;33;
400;31363300;32574;32869;33735;11;22;33;
401;31445800;32572;32868;33749;11;22;33;
402;31528400;32572;32868;33749;11;22;33;
403;31610700;32574;32868;33749;11;22;33;
404;31693200;32574;32868;33749;11;22;33;
405;31775800;32574;32868;33749;11;22;33;
406;31858200;32572;32868;33749;11;22;33;
407;31940700;32572;32868;33749;11;22;33;
408;32023000;32572;32868;33749;11;22;33;
409;32030400;32573;32868;33749;11;22;33;
410;32113000;32573;32868;33749;11;22;33;
411;32120400;32711;32867;33749;11;22;33;
412;32127800;32572;32868;33749;11;22;33;
413;32210400;32572;32868;33749;11;22;33;
414;32292700;32573;32868;33749;11;22;33;
415;32375300;32573;32868;33749;11;22;33;
416;32457500;32573;32868;33749;11;22;33;
417;32540200;32573;32868;33749;11;22;33;
418;32622700;32573;32868;33749;11;22;33;
419;32705100;32573;32868;33749;11;22;33;
420;32787600;32573;32867;33749;11;22;33;
421;32870100;32573;32867;33749;11;22;33;
422;32952400;32572;32868;33749;11;22;33;
423;33034900;32572;32868;33749;11;22;33;
424;33117300;32573;32868;33749;11;22;33;
425;33199800;32573;32868;33749;11;22;33;
426;33282200;32573;32868;33749;11;22;33;
427;33364500;32573;32868;33749;11;22;33;
428;33372000;32572;32867;33749;11;22;33;
429;33454500;32572;32867;33749;11;22;33;
430;33536900;32573;32868;33749;11;22;33;
431;33619400;32573;32868;33749;11;22;33;
432;33701800;32573;32868;33749;11;22;33;
433;33784100;32573;32867;33749;11;22;33;
434;33866600;32573;32867;33749;11;22;33;
435;33948900;32572;32868;33749;11;22;33;
436;34031300;32573;32868;33749;11;22;33;
437;34113900;32573;32868;33749;11;22;33;
438;34196200;32573;32867;33749;11;22;33;
439;34278700;32573;32867;33749;11;22;33;
440;34361000;32573;32867;33749;11;22;33;
441;34443600;32573;32868;33749;11;22;33;
442;34526100;32573;32868;33749;11;22;33;
443;34608500;32573;32868;33749;11;22;33;
444;34691100;32574;32868;33749;11;22;33;
445;34698500;32574;32868;33749;11;22;33;
446;34705800;32574;32868;33749;11;22;33;
447;34788400;32574;32868;33749;11;22;33;
448;34870700;32572;32868;33749;11;22;33;
449;34953300;32572;32868;33749;11;22;33;
450;35035800;32572;32868;33749;11;22;33;
451;35118200;32572;32868;33749;11;22;33;
452;35200600;32573;32867;33749;11;22;33;
453;35283000;32573;32867;33749;11;22;33;
454;35365200;32573;32868;33749;11;22;33;
455;35447700;32573;32868;33749;11;22;33;
456;35530100;32711;32867;33749;11;22;33;
457;35612700;32572;32868;33749;11;22;33;
458;35695200;32572;32868;33749;11;22;33;
459;35777700;32573;32868;33735;11;22;33;
460;35860100;32573;32867;33749;11;22;33;
461;35942600;32573;32867;33749;11;22;33;
462;36025000;32572;32867;33749;11;22;33;
463;36107500;32572;32867;33749;11;22;33;
464;36189700;32574;32868;33749;11;22;33;
465;36272300;32711;32868;33749;11;22;33;
466;36354900;32711;32868;33749;11;22;33;
467;36437300;32573;32868;33749;11;22;33;
468;36519800;32573;32867;33749;11;22;33;
469;36602400;32573;32867;33749;11;22;33;
470;36684800;32572;32867;33749;11;22;33;
471;36767400;32572;32867;33749;11;22;33;
472;36849800;32573;32868;33749;11;22;33;
473;36932300;32573;32868;33749;11;22;33;
474;37014700;32573;32868;33749;11;22;33;
475;37097100;32572;32868;33749;11;22;33;
476;37179600;32572;32868;33749;11;22;33;
477;37262000;32572;32868;33749;11;22;33;
478;37344400;32573;32869;33749;11;22;33;
479;37427000;32573;32869;33749;11;22;33;
480;37509300;32573;32868;33749;11;22;33;
481;37591900;32573;32867;33749;11;22;33;
482;37674400;32573;32867;33749;11;22;33;
483;37756800;32572;32868;33749;11;22;33;
484;37839200;32572;32868;33749;11;22;33;
485;37921800;32572;32868;33749;11;22;33;
486;38004100;32573;32868;33749;11;22;33;
487;38011600;32573;32868;33749;11;22;33;
488;38093900;32573;32868;33749;11;22;33;
